Home Type,Home Size,Number of Occupants,Energy Type,Monthly Electricity Bill,CO2 Emissions (kg)
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,3500
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,Under $50,500
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,$50-$100,560
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1620
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2000
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,Over $200,2600
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,Under $50,2680
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,$50-$100,3300
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,$100-$150,3500
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,$150-$200,3700
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,Over $200,3900
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,Under $50,2450
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,$50-$100,3100
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,$100-$150,3300
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,$150-$200,3500
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,Over $200,3700
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,Under $50,2700
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,$50-$100,3500
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,$100-$150,3700
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,$150-$200,3900
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,Over $200,4100
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,Under $50,3199
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,$50-$100,3200
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,$100-$150,3400
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,$150-$200,3600
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,Over $200,3800
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Electricity,Under $50,580
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Electricity,$50-$100,600
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Electricity,$100-$150,1820
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Electricity,$150-$200,2200
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Electricity,Over $200,3000
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Oil,Under $50,2750
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Oil,$50-$100,3600
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Oil,$100-$150,3800
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Oil,$150-$200,4000
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Oil,Over $200,4200
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Propane,Under $50,2600
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Propane,$50-$100,3400
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Propane,$100-$150,3600
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Propane,$150-$200,3800
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Propane,Over $200,4000
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Wood,Under $50,3000
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Wood,$50-$100,3800
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Wood,$100-$150,4000
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Wood,$150-$200,4200
Semi-detached house,Under 1000 sq. ft.,5 Occupants,Wood,Over $200,4400
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2443
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,4000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,4500
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,5000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,Over $200,6000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Electricity,Under $50,300
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Electricity,$50-$100,600
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Electricity,$100-$150,1200
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Electricity,$150-$200,1800
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Electricity,Over $200,2400
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Oil,Under $50,3400
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Oil,$50-$100,4000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Oil,$100-$150,6100
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Oil,$150-$200,8000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Oil,Over $200,10550
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Propane,Under $50,4000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Propane,$50-$100,5000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Propane,$100-$150,7000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Propane,$150-$200,9000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Propane,Over $200,12000
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Wood,Under $50,1500
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Wood,$50-$100,2500
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Wood,$100-$150,4100
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Wood,$150-$200,5500
Semi-detached house,1000-2000 sq. ft.,1 Occupant,Wood,Over $200,7220
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,Under $50,2727
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,5200
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,6000
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,6500
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,Over $200,7800
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Electricity,Under $50,410
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Electricity,$50-$100,800
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Electricity,$100-$150,1550
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Electricity,$150-$200,2000
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Electricity,Over $200,2500
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Oil,Under $50,3499
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Oil,$50-$100,4600
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Oil,$100-$150,6900
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Oil,$150-$200,8800
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Oil,Over $200,10900
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Propane,Under $50,4300
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Propane,$50-$100,6200
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Propane,$100-$150,8000
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Propane,$150-$200,10200
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Propane,Over $200,13200
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Wood,Under $50,1800
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Wood,$50-$100,2700
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Wood,$100-$150,4300
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Wood,$150-$200,6000
Semi-detached house,1000-2000 sq. ft.,2 Occupants,Wood,Over $200,8000
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3151
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,6800
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,7800
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,8800
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,9800
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,Under $50,550
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,1050
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1700
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2250
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,Over $200,2800
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,Under $50,3599
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,$50-$100,5100
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,$100-$150,7300
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,$150-$200,9200
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,Over $200,11200
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,Under $50,4700
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,$50-$100,7300
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,$100-$150,9100
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,$150-$200,11000
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,Over $200,14100
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,Under $50,2100
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,$50-$100,3500
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,$100-$150,4850
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,$150-$200,6800
Semi-detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,Over $200,8600
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3578
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,7500
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,8500
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,10000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,Over $200,11000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Electricity,Under $50,605
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Electricity,$50-$100,1200
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Electricity,$100-$150,1800
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Electricity,$150-$200,2400
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Electricity,Over $200,3200
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Oil,Under $50,3700
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Oil,$50-$100,6000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Oil,$100-$150,8500
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Oil,$150-$200,10500
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Oil,Over $200,12000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Propane,Under $50,4900
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Propane,$50-$100,8000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Propane,$100-$150,10000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Propane,$150-$200,12000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Propane,Over $200,15000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Wood,Under $50,2500
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Wood,$50-$100,4000
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Wood,$100-$150,5500
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Wood,$150-$200,7100
Semi-detached house,1000-2000 sq. ft.,5 Occupants,Wood,Over $200,9100
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2821
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,7500
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,10000
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,12500
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,Over $200,15000
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Electricity,Under $50,300
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Electricity,$50-$100,1200
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Electricity,$100-$150,1800
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Electricity,$150-$200,2400
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Electricity,Over $200,3000
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Oil,Under $50,3820
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Oil,$50-$100,5500
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Oil,$100-$150,8500
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Oil,$150-$200,11000
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Oil,Over $200,14000
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Propane,Under $50,4370
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Propane,$50-$100,4540
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Propane,$100-$150,4710
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Propane,$150-$200,4880
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Propane,Over $200,5200
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Wood,Under $50,3970
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Wood,$50-$100,4140
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Wood,$100-$150,4310
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Wood,$150-$200,4480
Semi-detached house,Over 2000 sq. ft.,1 Occupant,Wood,Over $200,4800
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,Under $50,3010
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,8800
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,12000
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,14200
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,Over $200,16800
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Electricity,Under $50,560
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Electricity,$50-$100,1400
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Electricity,$100-$150,2000
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Electricity,$150-$200,2600
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Electricity,Over $200,3500
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Oil,Under $50,4000
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Oil,$50-$100,6000
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Oil,$100-$150,9200
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Oil,$150-$200,12000
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Oil,Over $200,14800
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Propane,Under $50,4870
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Propane,$50-$100,5040
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Propane,$100-$150,5210
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Propane,$150-$200,5380
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Propane,Over $200,5700
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Wood,Under $50,4470
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Wood,$50-$100,4640
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Wood,$100-$150,4810
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Wood,$150-$200,4980
Semi-detached house,Over 2000 sq. ft.,2 Occupants,Wood,Over $200,5300
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3261
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,10800
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,14000
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,16000
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,18200
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,Under $50,890
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,1650
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,2300
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2820
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,Over $200,4000
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,Under $50,4307
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,$50-$100,7200
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,$100-$150,10200
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,$150-$200,13500
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,Over $200,15500
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,Under $50,5670
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,$50-$100,5840
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,$100-$150,6010
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,$150-$200,6180
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,Over $200,6500
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,Under $50,5270
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,$50-$100,5340
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,$100-$150,5610
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,$150-$200,5780
Semi-detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,Over $200,6150
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3578
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,12500
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,15000
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,17500
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,Over $200,19000
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Electricity,Under $50,1000
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Electricity,$50-$100,1800
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Electricity,$100-$150,2400
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Electricity,$150-$200,3000
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Electricity,Over $200,4500
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Oil,Under $50,4400
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Oil,$50-$100,8500
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Oil,$100-$150,11000
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Oil,$150-$200,14000
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Oil,Over $200,16000
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Propane,Under $50,6370
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Propane,$50-$100,6540
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Propane,$100-$150,6710
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Propane,$150-$200,6880
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Propane,Over $200,7200
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Wood,Under $50,5970
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Wood,$50-$100,6140
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Wood,$100-$150,6310
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Wood,$150-$200,6480
Semi-detached house,Over 2000 sq. ft.,5 Occupants,Wood,Over $200,6800
Townhouse,Under 1000 sq. ft.,1 Occupant,Natural Gas,Under $50,1971
Townhouse,Under 1000 sq. ft.,1 Occupant,Natural Gas,$50-$100,2800
Townhouse,Under 1000 sq. ft.,1 Occupant,Natural Gas,$100-$150,3000
Townhouse,Under 1000 sq. ft.,1 Occupant,Natural Gas,$150-$200,4000
Townhouse,Under 1000 sq. ft.,1 Occupant,Natural Gas,Over $200,8000
Townhouse,Under 1000 sq. ft.,1 Occupant,Electricity,Under $50,300
Townhouse,Under 1000 sq. ft.,1 Occupant,Electricity,$50-$100,500
Townhouse,Under 1000 sq. ft.,1 Occupant,Electricity,$100-$150,1000
Townhouse,Under 1000 sq. ft.,1 Occupant,Electricity,$150-$200,1600
Townhouse,Under 1000 sq. ft.,1 Occupant,Electricity,Over $200,2000
Townhouse,Under 1000 sq. ft.,1 Occupant,Oil,Under $50,2400
Townhouse,Under 1000 sq. ft.,1 Occupant,Oil,$50-$100,2800
Townhouse,Under 1000 sq. ft.,1 Occupant,Oil,$100-$150,3600
Townhouse,Under 1000 sq. ft.,1 Occupant,Oil,$150-$200,4500
Townhouse,Under 1000 sq. ft.,1 Occupant,Oil,Over $200,5000
Townhouse,Under 1000 sq. ft.,1 Occupant,Propane,Under $50,1500
Townhouse,Under 1000 sq. ft.,1 Occupant,Propane,$50-$100,2500
Townhouse,Under 1000 sq. ft.,1 Occupant,Propane,$100-$150,3000
Townhouse,Under 1000 sq. ft.,1 Occupant,Propane,$150-$200,3700
Townhouse,Under 1000 sq. ft.,1 Occupant,Propane,Over $200,5800
Townhouse,Under 1000 sq. ft.,1 Occupant,Wood,Under $50,2000
Townhouse,Under 1000 sq. ft.,1 Occupant,Wood,$50-$100,2800
Townhouse,Under 1000 sq. ft.,1 Occupant,Wood,$100-$150,3000
Townhouse,Under 1000 sq. ft.,1 Occupant,Wood,$150-$200,3330
Townhouse,Under 1000 sq. ft.,1 Occupant,Wood,Over $200,3500
Townhouse,Under 1000 sq. ft.,2 Occupants,Natural Gas,Under $50,2160
Townhouse,Under 1000 sq. ft.,2 Occupants,Natural Gas,$50-$100,2910
Townhouse,Under 1000 sq. ft.,2 Occupants,Natural Gas,$100-$150,3210
Townhouse,Under 1000 sq. ft.,2 Occupants,Natural Gas,$150-$200,5500
Townhouse,Under 1000 sq. ft.,2 Occupants,Natural Gas,Over $200,9500
Townhouse,Under 1000 sq. ft.,2 Occupants,Electricity,Under $50,410
Townhouse,Under 1000 sq. ft.,2 Occupants,Electricity,$50-$100,550
Townhouse,Under 1000 sq. ft.,2 Occupants,Electricity,$100-$150,1250
Townhouse,Under 1000 sq. ft.,2 Occupants,Electricity,$150-$200,1750
Townhouse,Under 1000 sq. ft.,2 Occupants,Electricity,Over $200,2100
Townhouse,Under 1000 sq. ft.,2 Occupants,Oil,Under $50,2523
Townhouse,Under 1000 sq. ft.,2 Occupants,Oil,$50-$100,3100
Townhouse,Under 1000 sq. ft.,2 Occupants,Oil,$100-$150,3750
Townhouse,Under 1000 sq. ft.,2 Occupants,Oil,$150-$200,4600
Townhouse,Under 1000 sq. ft.,2 Occupants,Oil,Over $200,5200
Townhouse,Under 1000 sq. ft.,2 Occupants,Propane,Under $50,1850
Townhouse,Under 1000 sq. ft.,2 Occupants,Propane,$50-$100,2800
Townhouse,Under 1000 sq. ft.,2 Occupants,Propane,$100-$150,3500
Townhouse,Under 1000 sq. ft.,2 Occupants,Propane,$150-$200,4500
Townhouse,Under 1000 sq. ft.,2 Occupants,Propane,Over $200,6800
Townhouse,Under 1000 sq. ft.,2 Occupants,Wood,Under $50,2250
Townhouse,Under 1000 sq. ft.,2 Occupants,Wood,$50-$100,3000
Townhouse,Under 1000 sq. ft.,2 Occupants,Wood,$100-$150,3300
Townhouse,Under 1000 sq. ft.,2 Occupants,Wood,$150-$200,3500
Townhouse,Under 1000 sq. ft.,2 Occupants,Wood,Over $200,3700
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,2500
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,3000
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,3500
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,6200
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,10200
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Electricity,Under $50,500
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Electricity,$50-$100,580
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1320
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Electricity,$150-$200,1900
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Electricity,Over $200,2300
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Oil,Under $50,2600
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Oil,$50-$100,3250
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Oil,$100-$150,3900
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Oil,$150-$200,4800
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Oil,Over $200,5300
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Propane,Under $50,2100
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Propane,$50-$100,3400
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Propane,$100-$150,4100
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Propane,$150-$200,5200
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Propane,Over $200,7200
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Wood,Under $50,2500
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Wood,$50-$100,3300
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Wood,$100-$150,3520
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Wood,$150-$200,3720
Townhouse,Under 1000 sq. ft.,3-4 Occupants,Wood,Over $200,4000
Townhouse,Under 1000 sq. ft.,5 Occupants,Natural Gas,Under $50,2800
Townhouse,Under 1000 sq. ft.,5 Occupants,Natural Gas,$50-$100,3200
Townhouse,Under 1000 sq. ft.,5 Occupants,Natural Gas,$100-$150,3800
Townhouse,Under 1000 sq. ft.,5 Occupants,Natural Gas,$150-$200,8000
Townhouse,Under 1000 sq. ft.,5 Occupants,Natural Gas,Over $200,12000
Townhouse,Under 1000 sq. ft.,5 Occupants,Electricity,Under $50,550
Townhouse,Under 1000 sq. ft.,5 Occupants,Electricity,$50-$100,600
Townhouse,Under 1000 sq. ft.,5 Occupants,Electricity,$100-$150,1420
Townhouse,Under 1000 sq. ft.,5 Occupants,Electricity,$150-$200,2000
Townhouse,Under 1000 sq. ft.,5 Occupants,Electricity,Over $200,3000
Townhouse,Under 1000 sq. ft.,5 Occupants,Oil,Under $50,2720
Townhouse,Under 1000 sq. ft.,5 Occupants,Oil,$50-$100,3500
Townhouse,Under 1000 sq. ft.,5 Occupants,Oil,$100-$150,4050
Townhouse,Under 1000 sq. ft.,5 Occupants,Oil,$150-$200,5100
Townhouse,Under 1000 sq. ft.,5 Occupants,Oil,Over $200,5600
Townhouse,Under 1000 sq. ft.,5 Occupants,Propane,Under $50,2500
